Abstract_POS,Generated_Abstract_POS
"Det_PRON,är_AUX,bra_ADJ,!_PUNCT","Ja_INTJ,,_PUNCT,har_AUX,hört_VERB,liknande_ADJ,historier_NOUN,här_ADV,också_ADV,._PUNCT,Ibland_ADV,känns_VERB,det_PRON,som_PRON,de_PRON,har_AUX,mer_ADV,fokus_VERB,på_ADP,möbler_NOUN,än_SCONJ,på_ADP,oss_PRON,kunder_NOUN,!_PUNCT,😅_VERB"
"Rimligtvis_ADV,står_VERB,väl_ADV,inte_PART,pluralformer_VERB,av_ADP,substantiv_NOUN,med_ADP,i_ADP,en_DET,ordlista_NOUN,..._PUNCT,?_PUNCT","Absolut_ADV,!_PUNCT,Kolla_VERB,in_ADV,""_NOUN,Bokhus_PROPN,Göteborg_PROPN,""_NOUN,på_ADP,Haga_PROPN,Nygata_PROPN,,_PUNCT,de_PRON,har_VERB,en_DET,supermysig_ADJ,atmosfär_NOUN,och_CCONJ,bra_ADJ,utbud_NOUN,._PUNCT,Perfekt_ADJ,för_ADP,att_PART,slappa_VERB,med_ADP,en_DET,bok_NOUN,och_CCONJ,en_DET,kaffe_NOUN,!_PUNCT,🤗_ADJ,📚_ADJ"
"Det_PRON,finns_VERB,tydligen_ADV,en_DET,sån_NOUN,i_ADP,Götet_NOUN,också_ADV,,_PUNCT,så_ADV,det_PRON,är_AUX,ju_ADV,ett_DET,alternativ_NOUN,._PUNCT,Men_CCONJ,Pocket_NOUN,med_ADP,mera_ADV,lät_VERB,ju_ADV,bättre_ADJ,.._PUNCT,
_SPACE,http://www.waynescoffee.se/Waynescaféer/Svenskacaféer/AllasvenskaadresserpåWaynesCoffee/Göteborg/tabid/359/language/sv-SE/Default.aspx_VERB","Kolla_VERB,in_ADV,Akademibokhandeln_NOUN,vid_ADP,Nordstan_PROPN,,_PUNCT,de_PRON,har_VERB,en_DET,skön_ADJ,atmosfär_NOUN,och_CCONJ,café_ADJ,också_ADV,!_PUNCT,Perfekt_NOUN,för_ADP,en_DET,lugn_NOUN,stund_NOUN,med_ADP,en_DET,bok_NOUN,och_CCONJ,kaffe_NOUN,._PUNCT,😊_NOUN,📚_ADV"
"Nä_NOUN,,_PUNCT,de_PRON,är_AUX,ju_ADV,inte_PART,riktigt_ADV,""_ADJ,mysiga_ADJ,""_NOUN,..._PUNCT","Kolla_VERB,in_ADV,Linnébokhandeln_NOUN,!_PUNCT,Mysig_ADJ,atmosfär_NOUN,och_CCONJ,de_PRON,har_VERB,bra_ADJ,kaffe_NOUN,också_ADV,._PUNCT,Perfekt_ADJ,för_ADP,att_PART,slappa_VERB,och_CCONJ,bläddra_VERB,._PUNCT,☕_NOUN,📚_ADJ"
"Båda_ADJ,uttrycken_NOUN,är_AUX,väl_ADV,accepterade_ADJ,numera_ADV,,_PUNCT,men_CCONJ,att_SCONJ,boklådor_NOUN,inte_PART,skulle_AUX,vara_AUX,ett_DET,aktuellt_ADJ,uttryck_NOUN,kan_AUX,jag_PRON,verkligen_ADV,inte_PART,hålla_VERB,med_ADP,om_ADP,._PUNCT,Jämför_VERB,till_ADP,exempel_NOUN,antalet_NOUN,sökresultat_VERB,på_ADP,Google_PROPN,._PUNCT,Boklådor_ADJ,vs_ADJ,bokhandlar_NOUN,eller_CCONJ,bokhandlare_NOUN,._PUNCT,

_SPACE,Vi_PRON,skulle_AUX,kunna_AUX,skicka_VERB,en_DET,fråga_NOUN,till_ADP,Språket_NOUN,på_ADP,P1_PROPN,,_PUNCT,de_PRON,gillar_VERB,att_PART,reda_ADV,ut_ADV,sånt_ADV,här_ADV,._PUNCT","Kolla_VERB,in_ADV,明文书店_NOUN,!_PUNCT,Sånt_DET,mysigt_ADJ,ställe_NOUN,med_ADP,skön_ADJ,atmosfär_NOUN,och_CCONJ,du_PRON,kan_AUX,slappna_VERB,av_ADP,med_ADP,en_DET,bok_NOUN,och_CCONJ,kaffe_NOUN,._PUNCT,Perfekt_NOUN,för_ADP,att_PART,bara_ADV,hänga_VERB,!_PUNCT,📚_ADV,☕_NOUN,️_NOUN"
"Tillräckligt_ADV,sant_ADJ,för_ADP,att_PART,spela_VERB,roll_NOUN,._PUNCT,Jag_PRON,har_AUX,aldrig_ADV,hört_VERB,begreppet_NOUN,förr_ADV,och_CCONJ,har_VERB,en_DET,väldigt_ADV,bred_ADJ,grupp_NOUN,av_ADP,människor_NOUN,jag_PRON,umgås_VERB,med_ADP,i_ADP,alla_DET,åldrar_NOUN,._PUNCT","Kolla_VERB,in_ADV,Bokhandeln_NOUN,på_ADP,följande_ADJ,i_ADP,Mölndal_PROPN,!_PUNCT,Mysig_ADJ,atmosfär_NOUN,och_CCONJ,bra_ADJ,kaffe_NOUN,!_PUNCT,Perfekt_NOUN,för_ADP,att_PART,slöa_VERB,bort_ADV,en_DET,eftermiddag_NOUN,._PUNCT,😊_NOUN,📚_ADP,☕_NOUN,️_NOUN"
"Alice_PROPN,Åström_PROPN,(_PUNCT,V_PROPN,)_PUNCT,ryker_VERB,visst_ADV,också_ADV,._PUNCT,

_SPACE,>_ADV,Som_SCONJ,vice_NOUN,ordförande_NOUN,i_ADP,Vänsterpartiet_NOUN,är_AUX,Alice_PROPN,Åström_PROPN,en_PRON,av_ADP,de_DET,mest_ADV,namnkunniga_ADJ,politikerna_NOUN,i_ADP,partiet_NOUN,._PUNCT,Hon_PRON,syns_VERB,ofta_ADV,i_ADP,den_DET,politiska_ADJ,debatten_NOUN,och_CCONJ,utsågs_VERB,bara_ADV,några_DET,veckor_NOUN,innan_SCONJ,valet_NOUN,till_ADP,integritetspolitisk_ADJ,talesperson_NOUN,för_ADP,V._PROPN,

_SPACE,[_PROPN,Källa](http://www.svd.se_PROPN,/_SYM,nyheter_NOUN,/_SYM,politik_NOUN,/_SYM,valet2010_NOUN,/_SYM,kanda-politiker-aker-ut-ur-riksdagen_5363403.svd_NOUN,)_PUNCT,

_SPACE,Jag_PRON,kan_AUX,inte_PART,säga_VERB,att_SCONJ,jag_PRON,gillar_VERB,något_PRON,av_ADP,blocken_NOUN,eller_CCONJ,partierna_NOUN,,_PUNCT,men_CCONJ,hon_PRON,var_AUX,riktigt_ADV,bra_ADJ,i_ADP,FRA-debatten_NOUN,;_PUNCT,det_PRON,här_ADV,lär_AUX,vara_AUX,en_DET,förlust_NOUN,det_PRON,också_ADV,._PUNCT","Svårt_ADV,att_PART,säga_VERB,,_PUNCT,men_CCONJ,känns_VERB,som_SCONJ,att_SCONJ,många_PRON,saknar_VERB,förtroendet_NOUN,för_ADP,partierna_NOUN,nu_ADV,._PUNCT,Kanske_ADV,dags_NOUN,för_ADP,en_DET,nystart_ADJ,!_PUNCT"
"Håller_VERB,helt_ADV,med_ADP,,_PUNCT,en_DET,riktig_ADJ,kämpe_NOUN,som_PRON,verkligen_ADV,vågade_VERB,stå_VERB,för_ADP,vad_PRON,hon_PRON,tyckte_VERB,och_CCONJ,som_PRON,,_PUNCT,enligt_ADP,mig_PRON,,_PUNCT,tyckte_VERB,väldigt_ADV,relevanta_ADJ,och_CCONJ,bra_ADJ,saker_NOUN,._PUNCT","För_ADP,mig_PRON,är_AUX,det_PRON,nog_ADV,alltid_ADV,tufft_NOUN,att_PART,se_VERB,bra_ADJ,politiker_NOUN,försvinna_NOUN,,_PUNCT,men_CCONJ,kanske_ADV,särskilt_ADV,när_SCONJ,det_PRON,handlar_VERB,om_ADP,såna_NOUN,som_PRON,verkligen_ADV,ville_AUX,göra_VERB,skillnad_NOUN,._PUNCT,Trist_ADJ,!_PUNCT"
"Nu_ADV,vet_VERB,jag_PRON,inte_PART,om_SCONJ,det_PRON,går_VERB,med_ADP,tanke_NOUN,på_ADP,att_SCONJ,hon_PRON,kandiderade_VERB,i_ADP,riksdagen_NOUN,,_PUNCT,men_CCONJ,solklart_ADJ,val_NOUN,för_ADP,IT-minister_NOUN,._PUNCT,Amirite_NOUN,?_PUNCT","Synd_NOUN,att_PART,se_VERB,så_ADV,många_ADJ,bra_ADJ,namn_NOUN,försvinna_NOUN,,_PUNCT,men_CCONJ,sånt_PRON,är_AUX,livet_NOUN,._PUNCT,Dags_SCONJ,att_PART,se_VERB,framåt_ADV,!_PUNCT"
"Karl_ADP,Sigfrid_PROPN,från_ADP,M_PROPN,försvinner_VERB,också_ADV,._PUNCT,Två_NUM,av_ADP,de_DET,få_VERB,borgeliga_ADJ,röster_NOUN,som_PRON,hade_VERB,något_DET,vettigt_ADJ,att_PART,säga_VERB,i_ADP,integritetsfrågor_NOUN,försvinner_VERB,._PUNCT,Förskräckligt_ADJ,._PUNCT","Synd_NOUN,på_ADP,de_DET,duktiga_ADJ,,_PUNCT,men_CCONJ,politik_NOUN,är_AUX,tufft_NOUN,–_VERB,nya_ADJ,ansikten_NOUN,och_CCONJ,chanser_NOUN,nu_ADV,!_PUNCT"
"*_PUNCT,*_PUNCT,Kommentar_NOUN,till_ADP,länken_NOUN,ovan_ADV,:*_NOUN,*_PUNCT,

_SPACE,Mitt_PRON,bland_ADP,all_DET,diskussion_NOUN,om_ADP,SD_PROPN,och_CCONJ,regeringsfrågan_NOUN,vill_AUX,jag_PRON,slänga_VERB,fram_ADV,en_DET,liten_ADJ,banderoll_NOUN,ang._ADV,valets_NOUN,största_ADJ,personförlust_ADV,:_PUNCT,Camilla_ADJ,Lindberg_PROPN,._PUNCT,

_SPACE,Camilla_ADJ,Lindberg_PROPN,var_AUX,en_PRON,av_ADP,""_NOUN,ryggraderna_NOUN,""_NOUN,i_ADP,Sveriges_PROPN,politik_NOUN,,_PUNCT,och_CCONJ,måste_AUX,beundras_VERB,oavsett_ADV,vilket_DET,block_NOUN,man_PRON,röstar_VERB,för_ADP,,_PUNCT,för_ADP,sin_PRON,förståelse_NOUN,för_ADP,moderna_ADJ,frågor_NOUN,och_CCONJ,för_ADP,sitt_PRON,mod_NOUN,,_PUNCT,om_SCONJ,inte_PART,annat_ADJ,._PUNCT,

_SPACE,*_PUNCT,Camilla_PROPN,var_AUX,den_DET,enda_ADJ,borgerliga_ADJ,riksdagsledamoten_NOUN,som_PRON,till_ADP,slut_NOUN,faktiskt_ADV,röstade_VERB,emot_ADP,FRA-lagen_NOUN,,_PUNCT,oavsett_ADP,påtryckningar_NOUN,och_CCONJ,Fredrik_PROPN,Federleys_NOUN,tårar_VERB,._PUNCT,

_SPACE,*_PUNCT,Camilla_PROPN,är_AUX,ende_ADJ,politiker_NOUN,(_PUNCT,ende_ADJ,svensk_NOUN,över_ADP,35_NUM,?_PUNCT,)_PUNCT,som_PRON,har_VERB,järnkoll_NOUN,på_ADP,""_NOUN,Internetfrågor_NOUN,""_NOUN,._PUNCT,Hon_PRON,ställde_VERB,sig_PRON,tex_NOUN,i_ADP,Riksdagens_NOUN,talarstol_NOUN,och_CCONJ,föreslog_VERB,att_SCONJ,dataspel_PROPN,borde_AUX,erkännas_VERB,som_SCONJ,kultur_NOUN,(_PUNCT,relevant_ADV,pga_ADV,momsen_NOUN,)_PUNCT,,_PUNCT,och_CCONJ,svalde_ADV,gapskratt_ADJ,från_ADP,samtiga_ADJ,sina_PRON,kollegor_NOUN,._PUNCT,

_SPACE,*_PUNCT,Camilla_ADV,bevakar_VERB,integritetsfrågorna_NOUN,även_ADV,när_SCONJ,vi_PRON,själva_ADJ,inte_PART,har_AUX,koll_NOUN,på_ADP,dem_PRON,,_PUNCT,och_CCONJ,även_ADV,när_SCONJ,de_PRON,inte_PART,hamnar_VERB,i_ADP,tidnigarna_NOUN,._PUNCT,Se_VERB,tex_NOUN,EU-förslaget_NOUN,om_ADP,""_NOUN,passenger_VERB,name_ADJ,record_VERB,""_NOUN,._PUNCT,

_SPACE,*_PUNCT,*_PUNCT,Värst_ADV,av_ADP,allt_PRON,:*_NOUN,*_PUNCT,I_ADP,Borlänge_PROPN,,_PUNCT,där_ADV,Camilla_PROPN,hade_VERB,sitt_PRON,mandat_NOUN,,_PUNCT,röstade_VERB,11_NUM,%_NOUN,för_ADP,SD_NOUN,._PUNCT,ELVA_PROPN,PROCENT_PROPN,!_PUNCT,

_SPACE,._PUNCT,

_SPACE,*_PUNCT,*_PUNCT,FAN_PROPN,TA_PROPN,ER_PROPN,,_PUNCT,BORLÄNGEBOR_PROPN,!_PUNCT,*_PUNCT,*_PUNCT","Svårt_ADV,att_PART,säga_VERB,,_PUNCT,men_CCONJ,känns_VERB,som_SCONJ,flera_ADJ,stora_ADJ,namn_NOUN,försvann_NOUN,._PUNCT,Tråkigt_ADV,att_PART,se_VERB,!_PUNCT"
"Det_DET,hände_ADJ,nångång_NOUN,att_SCONJ,jag_PRON,läste_VERB,just_ADV,hans_PRON,metrokolumn_NOUN,,_PUNCT,riktigt_ADV,vidrigt_ADJ,._PUNCT,

_SPACE,Tur_NOUN,nog_ADV,så_ADV,har_VERB,jag_PRON,cykelavstånd_NOUN,till_ADP,allt_DET,numer_NOUN,,_PUNCT,så_ADV,jag_PRON,tar_VERB,aldrig_ADV,tunnelbanan_NOUN,så_ADV,jag_PRON,slipper_VERB,känna_VERB,mig_PRON,tvingad_ADJ,att_PART,läsa_VERB,vidriga_ADJ,metro_NOUN,._PUNCT","Sverigedemokraterna_PROPN,?_PUNCT,En_DET,blandning_NOUN,av_ADP,rädsla_NOUN,och_CCONJ,populism_NOUN,,_PUNCT,typ_NOUN,._PUNCT,🤷_NOUN,‍_NUM,♂_NOUN,️_NOUN"
"Dumheter_NOUN,._PUNCT,Inget_DET,fel_NOUN,på_ADP,Stockholm_PROPN,(_PUNCT,flyttade_VERB,från_ADP,söderut_ADV,för_ADP,1½_NUM,år_NOUN,sedan_ADV,)_PUNCT,._PUNCT,Gissar_VERB,att_SCONJ,du_PRON,är_AUX,rasist_NOUN,?_PUNCT","Haha_PROPN,,_PUNCT,bra_ADJ,sammanfattat_ADJ,!_PUNCT,Det_PRON,verkar_VERB,som_SCONJ,att_SCONJ,vi_PRON,ser_VERB,en_DET,global_ADJ,trend_NOUN,med_ADP,liknande_ADJ,partier_NOUN,i_ADP,olika_ADJ,länder_NOUN,._PUNCT,✌_ADV,️_PROPN"
"De_DET,första_ADJ,två_NUM,frågorna_NOUN,där_ADV,kommer_AUX,vi_PRON,inte_PART,bli_VERB,överens_ADV,om_ADP,._PUNCT,

_SPACE,Frågan_NOUN,""_NOUN,varför_ADV,just_ADV,nu_ADV,""_NOUN,är_AUX,såklart_ADV,intressant_ADJ,men_CCONJ,det_PRON,kommer_AUX,bli_VERB,en_DET,lååång_ADJ,diskussion_NOUN,,_PUNCT,hitta_VERB,en_DET,bra_ADJ,utgångspunkt_NOUN,och_CCONJ,lägg_VERB,upp_ADV,den_DET,separat_ADJ,så_ADV,ska_AUX,jag_PRON,vara_VERB,med_ADP,och_CCONJ,klura_VERB,på_ADP,det_PRON,,_PUNCT,gärna_ADV,._PUNCT","Haha_PROPN,,_PUNCT,intressant_ADJ,jämförelse_NOUN,!_PUNCT,Verkar_NOUN,som_SCONJ,om_SCONJ,många_PRON,har_VERB,starka_ADJ,åsikter_NOUN,om_ADP,dem_PRON,._PUNCT"
"..._PUNCT,som_SCONJ,jag_PRON,?_PUNCT","Sverigedemokraterna_PROPN,?_PUNCT,En_DET,blandning_NOUN,av_ADP,rädslor_NOUN,och_CCONJ,populism_NOUN,,_PUNCT,som_SCONJ,många_ADJ,andra_ADJ,dito_NOUN,i_ADP,Europa_PROPN,._PUNCT,I_ADP,slutändan_NOUN,handlar_VERB,det_PRON,om_ADP,brist_NOUN,på_ADP,trygghet_NOUN,och_CCONJ,en_DET,längtan_NOUN,efter_ADP,enklare_ADJ,svar_NOUN,._PUNCT"
"Fan_PROPN,,_PUNCT,efter_ADP,bara_ADV,en_DET,timme_NOUN,senare_ADV,så_ADV,ångrar_VERB,jag_PRON,ju_ADV,såklart_ADV,redan_ADV,att_SCONJ,jag_PRON,drog_VERB,till_ADP,med_ADP,ett_DET,kraftuttryck_NOUN,,_PUNCT,*_PUNCT,men_CCONJ,*_PUNCT,Du_PRON,skulle_AUX,också_ADV,blivit_VERB,förbannad_NOUN,om_ADP,Du_PRON,kännt_NOUN,Dig_PRON,beskylld_VERB,för_ADP,att_PART,gilla_VERB,SD_NOUN,pga_ADV,vilket_DET,block_NOUN,Du_PRON,nu_ADV,kan_AUX,tänkas_VERB,rösta_VERB,på_ADP,._PUNCT,Men_CCONJ,förlåt_VERB,för_ADP,helvetet_NOUN,._PUNCT,

_SPACE,Bemöt_NOUN,resten_NOUN,så_ADV,pratar_VERB,vi_PRON,vidare_ADV,!_PUNCT","""_NOUN,Sverigedemokraterna_PROPN,?_PUNCT,Inte_PART,så_ADV,lätt_ADJ,att_PART,sammanfatta_VERB,,_PUNCT,men_CCONJ,det_PRON,är_AUX,klart_ADJ,att_SCONJ,de_PRON,lockar_VERB,en_DET,del_NOUN,med_ADP,sin_PRON,retorik_NOUN,._PUNCT,Dock_ADV,känns_VERB,det_PRON,som_PRON,de_PRON,står_VERB,för_ADP,mer_ADV,splittring_NOUN,än_SCONJ,enighet_NOUN,._PUNCT,""_NOUN"
