Year,Level,Title,Topic Category,Abstract,Direct Link,Keywords,Permanent Link,Full Text,Generated Abstract
2012,Bachelor's Thesis,Artificiell intelligens - ANN och evolution i shooterspel,Natural Sciences,Detta arbete undersöker hur två olika nätverksarkitekturer för artificiella neurala nätverk fungerar i en testmiljö av shooter-karaktär. De två arkitekturer som undersöks är ett feedforward-nätverk samt ett elman-nätverk som tränas med hjälp av evolutionära algoritmer. Skillnaden på de två valda nätverksarkitekturerna är att det sistnämnda har ett korttidsminne.Resultaten visar att det i den testmiljö som använts inte är någon skillnad på de två nätverksarkitekturerna; utan de uppnår i princip samma resultat. Dock så har de beteenden som nätverken uppnått visat på att det är möjligt att använda agenter som är skapade av artificiella neurala nätverk i ett shooter-spel och att de kan generera bra resultat. Något som inte fokuserats på i detta arbete men som skulle vara intressant att kolla vidare på; är till exempel förändring av storleken på nätverken eller att undersöka om ett långtidsminne på det rekurrenta nätverket hade förändrat resultatet.,,Artificiella neurala nätverk; ANN; genetiska algoritmer; evolution; spel,,https://www.diva-portal.org/smash/get/diva2:531903/FULLTEXT02.pdf,
2008,Bachelor's Thesis,Procedurella Texturer: Skapande av en procedurell textur utifrån en referensbild med hjälp av en genetisk algoritm,Natural Sciences,Då dataspel blir mer grafiskt tilltalande för var år som går innebär detta också att mer utrymme behövs för att få plats med alla bildtexturer. Detta leder till att spel som annars skulle kunnat läggas ut på exempelvis XBOX Live Marketplace är för stora för att få plats där. Genom att byta ut vanliga bildtexturer mot procedurella texturer skulle detta problem kunna undvikas då de senare tar mindre plats än de förstnämnda. Denna uppsats tar upp och redovisar en metod för att återskapa bildtexturer som procedurella texturer; där en genetisk algoritm används för att evolvera fram procedurella texturer med visuella likheter med referenstexturen.,,Procedurella texturer; Texturer; Genetiska Algoritmer; Datorgrafik,,https://www.diva-portal.org/smash/get/diva2:2226/FULLTEXT01.pdf,
2007,Bachelor's Thesis,Användarverifiering från webbkamera,Natural Sciences,Arbetet som presenteras i den här rapporten handlar om ansiktsigenkänning från webbkameror med hjälp av principal component analysis samt artificiella neurala nätverk av typen feedforward. Arbetet förbättrar tekniken med hjälp av filterbaserade metoder som bland annat används inom ansiktsdetektering. Dessa filter bygger på att skicka med redundant data av delregioner av ansiktet.,,Biometri; Ansiktsigenkänning; Principal Component Analysis; Artificiella Neurala Nätverk; Feedforward; Filter,,https://www.diva-portal.org/smash/get/diva2:3121/FULLTEXT01.pdf,
2016,Bachelor's Thesis,IT-stöd för Migrationsverket: En studie om nyttjande av beslutsstödssystem vid placeringen av ensamkommande flyktingbarn,Natural Sciences,Sverige har de senaste åren konfronterats med ett ökat mottagande av ensamkommande flyktingbarn. Vid situationer som denna är det viktigt för myndigheter att fatta rättvisa beslut med rätt beslutsstödsystem. Denna studie inriktar sig på en undersökning hos Migrationsverket samt två kommuner där forskningsfrågan som tillämpades var ”Hur används beslutsstödsystem vad gäller placering av ensamkommandebarn i kommuner?”. Metoden som användes var kvalitativ data erhölls genom litteratursökning samt intervjuer. Studien har pågående under flera faser tillämpat Zachmans ramverk som ett hjälpmedel för att analysera erhållen data samt för att skapa intervjufrågor och genomföra intervjuer. En beslutsmodell och Zachmans ramverk har applicerats på respondenternas svar för att kartlägga respondenterna enligt modellerna. Resultatet har varit en önskan av en ökad effektivitet vad gäller beslutsfattande för kommuner och mottagandet av denna information från Migrationsverket. Idag uppfattar kommunerna sina beslutprocesser som manuella. Utifrån ett Business Intelligence (BI) perspektiv är slutsatsen av denna studie att Migrationsverket samt kommunerna behöver tillämpa ett dynamiskt samspel vad gäller beslutsfattande; integrering; mottagande av information och hantering av denna information för att fatta beslut. Denna studie kan användas som grund för framtida forskning där syftet är att applicera Business Intelligence (BI) behov i en verksamhet genom en tillämpning av Zachmans ramverk.,,"Anvisningar; beslutsstödsystem; Business Intelligence; Zachmans ramverk;
Migrationsverket; ensamkommande flyktingbarn",,https://www.diva-portal.org/smash/get/diva2:942102/FULLTEXT01.pdf,
2010,Bachelor's Thesis,När mat blir sopor; och när den inte blir det: En studie om matsvinn ur ett miljö –och individperspektiv,Agricultural and Veterinary Sciences,Svinnet av mat har i Sverige uppskattats till cirka 1 miljon ton per år och sannolikt är det på hushållsnivå som de största mängderna matsvinn uppstår . En färsk undersökning visar att det årligen slängs uppemot 100 kilo mat per person i Sverige; vilket innebär stora och onödiga belastningar på miljö och klimat. Genom att minska svinnet av mat minskar också belastningen på miljön. Syftet med studien har varit att studera attityder till matsvinn i svenska hushåll samt identifiera hinder och förutsättningar för ett minskat svinn. Resultatet bygger på sju enskilda intervjuer med konsumenter och resultatet visar att dessa respondenter ogillar att slänga mat och slänger relativt lite. Svinnets miljöpåverkan tycks inte vara huvudsakligt skäl till att inte vilja slänga mat. Istället är respekt för maten; respekt för de fattiga samt den privata ekonomin mer framträdande aspekter vad gäller orsaker till att inte vilja slänga mat. Dessa känslor har följt med respondenterna från deras egen uppväxt vilket i kombination med kunskaper i matlagning tycks vara förutsättningar som leder till mindre matsvinn.,,matsvinn; miljö; svenska hushåll; individ; miljöanpassade handlingar; attityder; hinder och förutsättningar,,https://www.diva-portal.org/smash/get/diva2:370492/FULLTEXT01.pdf,
2017,Bachelor's Thesis,"""Jag ville ge mitt barn de bästa förutsättningarna"": En kvalitativ intervjustudie om tankar kring matvanor under graviditet hos nyblivna förstagångsmammor",Agricultural and Veterinary Sciences,Bakgrund Den blivande mammans matvanor under graviditeten är viktiga eftersom hon har ett ökat näringsbehov och försörjer en annan individ. En del av grunden för barnets framtida hälsa och matvanor ges redan i mammans mage. Trots det har studier visat att mammans matintag är otillräckligt jämfört med rekommendationerna samt att intaget av godis och fikabröd ofta ökar under graviditeten. Syftet med studien var att utforska inställningen till hälsosam och ohälsosam mat; samt hur denna inställning upplevdes påverka matintaget; hos nyblivna förstagångsmammor under graviditeten. Åtta intervjuer genomfördes med nyblivna förstagångsmammor. Intervjuerna genomfördes med en semistrukturerad intervjuguide och spelades in med hjälp av en inspelningsapp. Data som samlades in transkriberades och analyserades sedan med kvalitativ innehållsanalys. Deltagarna berättade att de ändrade inställningen till sina matvanor då de blev gravida. Det blev allt viktigare att äta en varierad kost innehållande mycket grönsaker och frukt (hälsosam mat); och intaget av snabbmat och produkter innehållande mycket socker minskade (ohälsosam mat). Denna inställning följdes inte under hela graviditeten; och intaget av snabbmat och sockerrika livsmedel ökade under den senare delen. Kostråden från vårdpersonal upplevdes som bristfälliga på grund av att de gavs för få råd; och att mycket information själv fick hämtas från framförallt Livsmedelsverket. Deltagarna följde inte sin initiala inställning till upplevd hälsosam och ohälsosam mat under hela graviditeten. Deltagarna efterfrågade även mer information om mat under graviditet från vårdpersonal. Mer stöd och information från vården kan ge den gravida kvinnan bättre förutsättningar till att hålla en hälsosam kost under hela graviditeten.,,Dietist; matvanor under graviditet,,https://www.diva-portal.org/smash/get/diva2:1160264/FULLTEXT01.pdf,
2014,Bachelor's Thesis,Treåringars matvanor; fysiska aktivitet; samt Body Mass Index i Västerbotten: I relation till amningsduration och familjekonstellation,Agricultural and Veterinary Sciences,"Forskning har visat att hur länge barn ammats; har betydelse för deras hälsa senare i livet. Även barnens sociala miljö har visat sig ha effekt på hälsan och barnens matvanor. Salut är en satsning av Västerbottens läns landsting med målet att förbättra länsbornas hälsa fram till 2030. Syftet med studien var att undersöka treåringars matvanor; Body Mass Index (BMI) och fysiska aktivitet i relation till amningsduration och familjekonstellation.
Studien genomfördes genom ett samarbete med Salut som utformade och delade ut en enkät via barnavårdscentraler till samtliga föräldrar vid treårskontrollen. Enkäten innehöll frågor om barnens fysiska och psykiska hälsa; samt livsstil och levnadsvanor och totalt beabetades 210 av enkäterna i denna studie; där 16 frågor valdes ut. Dessa analyserades sedan statistiskt i IBM SPSS 21.0 Statistics. Signifikansnivån sattes till p<0;05. De flesta av barnen åt enligt rekommendationerna för livsmedelsintag; med undantag för rekommendationerna om fisk samt sötsaker. De flesta barnen nådde även upp till rekommendationerna om fysisk aktivitet. De flesta mödrar ammade inte sina barn efter rekommendationerna. Det utlästes en signifikant skillnad mellan hur länge barnen ammats totalt och hur ofta de åt sötsaker som visade att barn som ammats under sex månader hade ett högre intag än de som ammats längre. (p=0;033) Barnen åt enligt rekommendationerna för de flesta livsmedel; utom fisk; som barnen åt mer sällan än vad som rekommenderas; samt sötsaker; som intogs oftare. Den information som framkommit i denna studie kan förtydliga vikten av att börja ett hälsofrämjande arbete i tidig ålder för att grundlägga goda vanor som sedan följer med barnen genom livet.",,de flesta livsmedel; utom fisk; som barnen åt mer sällan än vad som rekommenderas; samt sötsaker; som intogs oftare,,https://www.diva-portal.org/smash/get/diva2:711621/FULLTEXT01.pdf,
2015,Bachelor's Thesis,Granvirkes permeabilitet beroende av dess fysikaliska utformning och applicerat färgsystem,Agricultural and Veterinary Sciences,Densitetsmätningar och permeabilitetstest enligt EN 927-5 har utförts för att studera huruvida granvirkes fysikaliska egenskaper i kombination med applicerat färgsystem påverkar permeabiliteten. De egenskaper som studerats är frod- och senvuxenhet; splint- och kärnved samt densitet. Aktuella färgsystem som studerats är alkyd; akrylat och linolja; vilka jämförts med omålad referens. Studien påvisar inget samband mellan virkets densitet och permeabilitet; bestruket eller ej. Det som istället tycks påverka vattenabsorptionen är närvaro av splint-/kärnved samt frod-/senvuxenhet. Senvuxen kärnved var den bestrukna vedtyp som absorberade mest vatten gällande samtliga färgsystem. Vedtyp som hade lägst vattenabsorption varierade dock. Linolja var generellt det färgsystem som gav lägst permeabilitet; främst på frodvuxen kärnved. Denna kombination hade lägst absorption genom hela försöket.,,Gran; Picea abies; alkyd; akrylat; linolja; absorption; densitet; EN 927-5; frodvuxen; senvuxen; kärnved; splintved; vårved; sommarved,,https://www.diva-portal.org/smash/get/diva2:823891/FULLTEXT01.pdf,
2012,Bachelor's Thesis,Nutidens ventilationssystem i lantbrukets lösdriftstallar: En undersökning av sex stycken ventilationssystem,Agricultural and Veterinary Sciences,Den traditionella båsladugården har idag utvecklats till lösdriftstallar där korna har fri tillgång till foder och liggplatser. Korna mjölkas i antingen mjölkgrop; karusell eller av en robot. För att uppnå bra termisk komfort i lösdriftsstallen så använder man sig av naturlig eller mekanisk ventilation. I detta arbete så undersöks några olika ventilationssystem som använder sig av naturlig ventilation på fem utvalda kostall för att se hur de fungerar i praktiken. Detta görs med fukt- och temperaturmätare och med rökpatroner för att se hur luften rör sig i stallet. Resultatet analyseras för att se om det är något ventilationssystem som sticker ut jämför med de andra. Beskrivning kring hur man skulle kunna gå tillväga vid en vidare utveckling av detta arbete diskuteras.  ,,lösdriftstall; naturlig ventilation; kostall; ventilationssystem,,https://www.diva-portal.org/smash/get/diva2:537499/FULLTEXT01.pdf,
2014,Bachelor's Thesis,Jag är väl ingen sexuell? - En textanalys om barns sexualitet inom förskolans arena,Social Sciences,Denna uppsats behandlar barns sexualitet inom förskolans arena. Syftet är att problematisera förskolebarns sexualitet och analysera förskollärares förutsättningar att arbeta med detta utifrån valda dokument samt hur detta kan påverka barns utveckling. Metoden som används för att besvara forskningsfrågorna är en kvalitativ innehållsanalys. Därtill används både förskolans och grundskolans läroplan för att urskilja hur ämnet sex- och samlevnad behandlas inom utbildningsväsendet. Även Malmö högskolas utbildningsplan tillämpas för att synliggöra förskollärares utbildning angående barns sexualitet och ett dokument som beskriver kommitténs uppdrag samt förslag till ett måldokument gällande de pedagogiska verksamheterna. De teoretiska utgångspunkterna handlar om sexualitet utifrån Foucault tankar; därtill används Donzelots tankar om norm och moral och tillsist behandlas begreppet normalisering. Resultatet visar på att trots att förskolans verksamhet ska utgå från forskning och beprövad erfarenhet så erbjuds inte förskollärare utbildning inom ämnet sex- och samlevnad. Jag för en diskussion kring de eventuella orsaker som ligger till grund för osynliggörandet av ämnet inom förskolans arena. Ämnet sex- och samlevnad tolkas även in i förskolan utan att för den delen förändra förskolans läroplan samt hur det kan gagna barns utveckling. Denna förmån handlar om att främja barns sexuella hälsa för att erbjuda barn en positiv självuppfattning; kunskap om den egna integriteten och sociala koder samt förståelse för sina egna sexuella känslor. Pedagoger får möjlighet att förhindra en begränsande könstillhörighet samt skapa en tolerant miljö inom förskolan. Då pedagoger inom förskola arbetar med ämnet sex-och samlevnad skulle det förekomma en mindre risk att barnen själva får hantera sina sexuella känslor.,,Barns sexualitet; Förskola; Textanalys,,https://www.diva-portal.org/smash/get/diva2:1496141/FULLTEXT01.pdf,
2017,Bachelor's Thesis,Pojkar som skriver: En kvalitativ studie om vad som utmärker mer avancerade skrivare,Social Sciences,Syftet med denna studie är att öka kunskapen om vad som utmärker mer avancerade manliga skrivare på mellanstadiet. Genom en enkätundersökning av pojkars attityder till skrivande samt observationer av pojkars skrivpraktiker före och under ett längre skrivprojekt studerades aspekter som utmärker dessa skrivare gentemot övriga elever. Studien fann att de mer avancerade manliga skrivarna kommer från högutbildade familjer samt att de avancerade skrivarnas positiva attityder till skrivandet var väl förankrade i hemmet. Studien fann också att dessa pojkar i högre uträckning anstränger sig för sin egen; lärarens och sina vårdnadshavares skull än deras klasskamrater. Slutsatsen är att vårdnadshavares värderingar samt att läraren har höga förväntningar på pojkarna avspeglar sig i en vilja att anstränga sig för att lära – vilket i studien visade sig vara nyckeln till att bli en mer avancerad skrivare,,Mellanstadiet; attityder; skrivpraktiker; avancerade skrivare,,https://www.diva-portal.org/smash/get/diva2:1114163/FULLTEXT01.pdf,
2011,Bachelor's Thesis,”Och så händer det något som förändrar ens liv”: En antologi om omställningar i livet,Social Sciences,"Ur ett symbolisk interaktionistiskt perspektiv är människan en social varelse som lever i ett samhälle som är under ständigt skapande. I det samhälle där individen genom interaktion både formas och skapas är samhälle och individ tätt förenade vilket är den utgångspunkt vi genomgående valt att förhålla oss till i denna antologi. Antologin belyser omställningar i livet genom fyra olika bidrag. Agnesa Abrashis bidrag heter ”Ett nytt skede i livet – en studie om identitet och moderskap” och behandlar hur mammor ser på sitt identitetsskapande. Annika Sternlund tar upp adopterades syn på sitt identitetsskapande och sina livsvillkor i bidraget ”Rötterna är där hjärtat rotar sig”. Amanda Sundberg belyser i sitt bidrag ”Som barn var man ju förväntansfull – en studie om individer som immigrerat vid unga år” fem immigranters brott i livet i och med flytten till ett nytt land. Helenas Valentinsons bidrag ""Man känner ju i benen och det att man inte är 17 år längre"" handlar om de förändringar som sker när en individ blir pensionär. Gemensamt för antologin är även att vi relaterar identitetsskapandet i förhållande till tillhörighet och utanförskap. Slutsatsen för denna studie är att individens livsvillkor påverkas av faser i livet vilket inverkar på identitetsskapandet. På så sätt ses identiteten som något föränderligt.",,Identitet; utanförskap; tillhörighet; omställning; förändring; moderskap; adopterade; pensionär; emigrant; immigrant,,https://www.diva-portal.org/smash/get/diva2:556050/FULLTEXT01.pdf,
2012,Bachelor's Thesis,Kvotflyktingar i Sverige: En kvalitativ studie om arbete och samverkan inom flyktingmottagande,Social Sciences,Studien belyser uttagningsprocessen och mottagandet av kvotflyktingar ur de arbetandes perspektiv samt studerar samverkan mellan olika aktörer som arbetar med frågan. Studien är uppdelad i fyra delar där första delen tar upp processen och samverkan mellan aktörer. Andra delen belyser problematik och konsekvenser kring samverkan samt olika aktörers synsätt. Granskning av likheter och skillnader mellan kvotflyktingar och andra flyktinggrupper belyses i tredje delen och sista delen tar upp hur lagstiftning och kriterier inverkar i processen.,,Kvotflykting; förkunskaper; flyktingmottagande; etablering; integration; Maslows behovshierarki; KASAM.,,https://liu.diva-portal.org/smash/get/diva2:556051/FULLTEXT01.pdf,
2007,Bachelor's Thesis,En ny arbetsmarknadspolitik,Social Sciences,Då Moderaterna; tillsammans med de övriga Allianspartierna; vann riksdagsvalet 2006 blev det också klart att en ny arbetsmarknadspolitik skulle komma att drivas i Sverige. Ändringar i bland annat arbetslöshetsförsäkringen har genomförts för att öka incitamenten för arbetssökande att acceptera ett jobberbjudande. Arbetslöshetsersättningen ska inte längre vara ett sätt att försörja sig på utan det ska löna sig att arbeta. Men vad betyder ändringarna i arbetslöshetsförsäkringen för de individer som drabbas av dem? Och hur konstrueras bilden av dessa individer i det empiriska materialet? Syftet med studien är således att undersöka hur Moderaterna konstruerar bilder av grupper som befinner sig utanför arbetsmarknaden; till exempel arbetslösa och förtidspensionärer. Syftet är också att analysera vilka lösningar Moderaterna presenterar på denna problematik samt vilka konsekvenser dessa åtgärder får för individer som står utanför arbetsmarknaden.,,Arbetsmarknadspolitik; arbetslöshetskassa; arbetslöshetsförsäkring; arbetslösa; förtidspensionärer; Moderaterna; diskursteori; humankapital; sökteori; jämviktsarbetslöshet,,https://www.diva-portal.org/smash/get/diva2:23926/FULLTEXT01.pdf,
2013,Bachelor's Thesis,Kommunikationspolicyn: En studie av svenska offentliga organisationers kommunikationspolicys med utgångspunkt i samtida forskningsperspektiv,Social Sciences,I akademisk litteratur om public relations och strategisk kommunikation talas det om ett paradigmskifte. Istället för att se kommunikation som information som skickas från en aktiv sändare till en passiv mottagare; börjar man se kommunikation som något som skapas i en dialog mellan två aktiva aktörer. Man rör sig från en strategisk syn på publiken som en påverkbar målgrupp till en dialogisk syn på publiken som aktiva deltagare. Har detta paradigmskifte även ägt rum i praktiken? Hur ser man på kommunikation inom svenska offentliga organisationer idag? Finns det några likheter och skillnader i synsätt; och vad kan dessa tänkas bero på? Materialet utgörs av elva svenska offentliga organisationers kommunikationspolicys. Teorin utgörs av två svenska forskningsantologier om public relations respektive strategisk kommunikation; samt ett urval kritiskt problematiserande artiklar i ämnet. Efter en genomgång av den teoretiska litteraturen har de samtida forskningsperspektiven sammanfattats. Utifrån dessa har en idéanalysmall; en typologi; konstruerats med utgångspunkt i två idealtyper. Det förekom tydliga samband mellan de olika synsätten och hart när alla organisationer gick att placera i endera av de två idealtyperna. Samtliga forskningsperspektiv utom ett gick att hitta i materialet. Skillnaderna i synsätt gick att koppla till de olika organisationernas uppdrag och utformning. Organisationer med nya synsätt är överlag sådana som har tydliga behov av att effektivt kommunicera med omvärlden; medan de övriga organisationerna huvudsakligen har en informationsspridande funktion.,,Strategisk kommunikation; public relations; organisationskommunikation; publiker; målgrupp; dialog; kommunikationspolicy; offentlig sektor; myndighet; offentlighet,,https://www.diva-portal.org/smash/get/diva2:589133/FULLTEXT01.pdf,
2013,Bachelor's Thesis,Att arbeta integrerat med asylbarn i allmän förskola: En kvalitativ studie baserad på lärarintervjuer,Agricultural and Veterinary Sciences,Syftet med föreliggande studie var att vinna kunskap om och ge en bild av hur sex pedagoger inom förskolan upplever att det är att arbeta integrerat med asylbarn i den allmänna förskolan och att ge en bild av vad pedagogerna berättar om hur detta arbete organiseras.  För att få svar på studiens frågor har en kvalitativ forskningsintervju använts. Två forskningsfrågor skapades från vilka intervjufrågorna huvudsakligen formades. Forskningsfrågorna var: Vilka förutsättningar för arbetet med asylbarn ger pedagogerna uttryck för och på vilket sätt organiseras den allmänna förskolan för asylbarn. Som analysredskap i studien har den sociokulturella och den interkulturella teorin använts. Studiens resultat visar att integreringen av asylbarn i den allmänna förskolan innebär att pedagogerna har att förhålla sig till att arbeta med asylbarn och deras föräldrar utan att dela språk eller känna till mycket om deras bakgrund. De måste också arbeta i en barngrupp som kan vara extra rörlig och instabil till storlek och dagsform. Resultatet visar också att den goda intention som det är att asylbarnen ska få komma varje dag till den allmänna förskolan gör att tiden på förskolan blir för kort för att pedagogerna ska kunna arbeta mer planerat med asylbarnens språk och egna kultur.,,Integrering; asylbarn; förskola,,,
2015,Bachelor's Thesis,"""Men det här är ju kvinnogöra"": En studie om hur lärare ser på och praktiserar jämställdhet och genus i HKK",Agricultural and Veterinary Sciences,Kvinnor och män har historiskt sett ansetts ha olika fysiska och psykiska förutsättningar och den norm i samhället som vi levt efter har varit mannens. Kvinnans plats var i hemmet som maka; mor och husfru. I och med samhällets utveckling förändrades den könsspecifika arbetsfördelningen och kvinnan började förvärvsarbeta. Hem – och konsumentkunskap har gått från flickämne i skolan till obligatoriskt för alla där skolan ska främja jämställdhet och jämlikhet mellan könen. Denna rapports syfte är att undersöka hur yrkesverksamma lärare inom hem – och konsumentkunskap ser på jämställdhet och genus inom sitt ämne; vad som kan påverka hur de arbetar med jämställdhet mellan könen i sin undervisning samt hur de praktiskt genomför detta. Sju behöriga lärare från norra Sverige deltog i enskilda intervjuer. De hade olika åldrar och längd på yrkesverksamhet. Intervjuerna spelades in; transkriberades och analyserades med kvalitativ innehållsanalys. Respondenterna beskrev en pågående förändring av stereotypa könsmönster både i skolan och i hemmet men att traditionella könsroller fortfarande reproduceras. Hkk beskrevs som ett skolämne där lärandet till stor del sker i praktiskt arbete där roller synliggörs som kan ge förutsättningar till diskussion och reflektion om jämställdhet. Respondenterna var dock eniga om att jämställdhetsarbete i skolan ställer krav på lärarrollen och sig själv som verktyg; exempelvis vid bedömning av flickor och pojkar. Slutsatsen av denna studie är att lärare i hkk anser att stereotypa könsmönster har förändrats men fortfarande reproduceras traditionella könsroller i skolan. Yngre generationer frångår alltmer de traditionella könsrollerna då jämställdhet blir en allt mer naturlig del i samhället; dock kvarstår det arbete i jämställdhetsfrågan då det fortfarande finns skillnader mellan könen i betyg.,,Jämställdhet; genus; hem - och konsumentkunskap; gruppindelningar; betyg och bedömning,,,
2013,Bachelor's Thesis,Hur blev det med hälsan?: En kvalitativ studie om elevers syn på hälsa i ämnet Idrott och hälsa i årskurs nio.,Agricultural and Veterinary Sciences,Syftet med denna studie är att undersöka vilken uppfattning elever i årskurs nio har om hälsa. Ämnet Idrott och hälsa bedrivs på olika sätt och syftet med studien är även att få en klarare bild över hur eleverna upplever att de arbetar med hälsa i undervisningen. Genom intervjuer vill vi höra elevernas tankar och erfarenheter om hälsa och vad de skulle vilja lära sig mer om. Vi vill även veta vad de tycker är viktigt för att kunna påverka sin framtida hälsa.,,Hälsa; Idrott och hälsa; Hälsoundervisning; Hälsokorset,,https://www.diva-portal.org/smash/get/diva2:651227/FULLTEXT01.pdf,
2010,Bachelor's Thesis,Handledningsprocesser i Medarbetarsamtalet,Agricultural and Veterinary Sciences,I detta arbete har jag tittat på handledning på arbetsplatser. Handledning är idag ett svårdefinierbart begrepp som används allt mer på arbetsplatser. Syftet med detta arbete är att studera handledning och olika handledningsprocesser och se hur man skulle kunna använda sig av dem på arbetsplatser och i medarbetarsamtalet. Jag kommer att avgränsa mig genom att titta på momentet som rör medarbetarens utveckling i medarbetarsamtalet. I min teoretiska utgångspunkt har jag utgått ifrån att det kan förekomma handledning i medarbetarsamtalet; men att man inte kan se hela samtalet som handledning. För att undersöka detta har jag intervjuat 8 personer; fördelat på 2 arbetsplatser; om medarbetarsamtalet. Hälften har varit chefer och hälften medarbetare. I intervjuerna har det framkommit att man definitivt kan se handledande förhållningssätt i medarbetarsamtalet på båda företagen och att man också kan använda sig av de metoder och tankesätt som finns inom handledning för att utveckla medarbetarsamtalet ytterligare. Om man säger att själva medarbetarsamtalet i sig inte är handledning fullt ut; men att man kan se handledning förekomma på arbetsplatser; så skulle man kunna säga att medarbetarsamtalet är själva startskottet för den handledning som sedan sker under det dagliga arbetet. En utgångspunkt för medarbetare och chefer där man på medarbetarsamtalet har stämt av varandras förväntningar och samtyckt om var det behövs utveckling samt hur arbetet fungerar i stort på arbetsplatsen. Utefter detta kan man sedan arbeta med dessa saker i det dagliga arbetet under tiden till nästa medarbetarsamtal.,,Handledning; Handledningsprocesser; Kompetensutveckling; Medarbetarsamtal,,https://www.diva-portal.org/smash/get/diva2:1498155/FULLTEXT01.pdf,
2010,Bachelor's Thesis,Drömmen om ett arbete: En undersökning om anställningsbarhet i förhållande till personlighet och sökbeteende,Social Sciences,Denna studie syftar på att ta reda på hur anställningsbarheten ser ut i förhållande till personlighet och sökbeteende. Studien vänder sig till tidigare studenter på det Arbetsvetenskapliga programmet på Högskolan i Halmstad. Finns det någon personlighetsprofil som är mer gynnsam i arbetssökningsprocessen? Hur ser kraven ut för tjänster inom yrkesområdet samt finns det något samband mellan personlighet; anställningsbarhet och beteende i sökprocessen.Genom att granska platsannonser sammanställdes vilka krav som krävs för tjänster inom yrkesområdet. En enkätundersökning skickades till personer som gått utbildningen. Även intervjuer gjordes med respondenter för att få ett djup i studien. Resultatet visar bland annat att det är egenskaper inom området samvetsgrannhet och extroversion som mest efterfrågas i platsannonser inom yrkesområdet. Över hälften av respondenterna som idag har arbete inom yrkesområdet har fått arbete genom sitt sociala kontaktnät. I intervjuerna framkom att respondenterna upplevt att personlighet är en viktig faktor som arbetsgivare tittar på vid rekrytering. Studien visar även att de som är arbetslösa är mer proaktiva än övriga. Dessutom finns ett tydligt samband mellan kön; familjesituation och geografisk rörlighet. Att vara en strategiker samt utarbeta ett stort och brett socialt nätverk har i denna studie visat sig viktigt på vägen mot drömmen om ett arbete; medan däremot skillnader inom gruppen verkar sakna betydelse.,,Anställningsbarhet; Big Five; proaktivt beteende; självförtroende; anpassningsbar,,https://www.diva-portal.org/smash/get/diva2:327630/FULLTEXT01.pdf,
2015,Bachelor's Thesis,Att vara syskon eller partner till en person med ätstörningsproblematik,Social Sciences,Syftet med denna uppsats har varit att belysa behandlares uppfattningar om syskon och partners upplevelser av att ha en nära person med en ätstörning; samt betydelsen av att involvera dem i den drabbades behandling. Studien genomfördes med en kvalitativ metod där semistrukturerade intervjuer utfördes med 6 behandlare på olika ätstörningsverksamheter i Sverige. Resultat och slutsats visade att syskon och partners; samt andra närstående; är betydelsefulla för patientens tillfriskande. Det är viktigt att syskon och partners involveras i behandling; och att de får information om sjukdom och behandling. Syskon ska inte anta en ansvarsroll; medan partner behöver ta ett visst ansvar i vardagen. Ätstörningar har en tydlig påverkan på partners och syskon; samt på närstående i allmänhet. Närstående bör få goda verktyg till hur de kan vara ett stöd på bästa sätt till den drabbade. Behandlaren ska bemöta närstående med förståelse; respekt och ingen skuldbeläggning. Det är väsentligt för patientens motivation och tillfrisknande att det finns en god och nära relation till de närstående som är involverade i behandlingen. Det finns en brist på forskning inom detta område. Vidare forskning krävs för att stärka studiens resultat och slutsats.,,"Familj; ätstörningar; syskon; återhämtning;
behandling; relationer; äktenskap; erfarenhet;
par; anorexi; bulimi; stöd",,https://www.diva-portal.org/smash/get/diva2:800374/FULLTEXT01.pdf,
2012,Bachelor's Thesis,Kalmar - ett platsvarumärke i skuggan av Öland och Glasriket: En studie om destinationsutveckling,Social Sciences,Turismen i Kalmar har ökat de senaste åren; men hamnar till synes i skymundan av Öland och Glasriket. Hur får man besökare att få upp ögonen för Kalmar som primära resmålet och hur får man dem att stanna? Vi har i denna uppsats intresserat oss för att ta reda på hur ett starkt platsvarumärke skapas och vad som således krävs för att bli en framgångsrik destination; samt hur man kan använda sig av platsmarknadsföring för att nå ut med platsvarumärket till potentiella målgrupper.,,Platsmarknadsföring; platsvarumärke; place branding; destinationsutveckling; Kalmar,,https://www.diva-portal.org/smash/get/diva2:541897/FULLTEXT01.pdf,
